rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Laterais cobrados_man;Laterais cobrados_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Passes completados_man;Passes completados_vis;Desarmes_man;Desarmes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis;Acerto de passes_man;Acerto de passes_vis
11;Boavista;Famalicao;2;5;57%;43%;16;15;5;10;5;3;6;2;;;6;2;0;1;;;5;3;13;13;5;3;427;413;;;17;19;110;94;31;31;2;0;;
11;Gil Vicente;Arouca;1;1;53%;47%;16;9;5;1;2;4;9;4;;;8;1;3;0;;;0;4;14;18;1;5;515;369;;;13;11;115;99;57;26;0;1;;
10;Moreirense;Ferreira;1;1;52%;48%;7;11;1;4;3;4;3;3;;;4;7;1;3;;;3;0;13;13;1;1;443;414;;;17;14;126;114;44;35;;;;
10;Braga;Portimonense;3;0;47%;53%;17;3;5;2;8;1;4;0;;;3;5;0;3;;;2;2;13;15;3;6;464;413;;;20;18;124;90;33;34;;;;
10;Famalicao;Vizela;1;1;52%;48%;14;9;5;3;7;3;2;3;;;5;2;0;1;;;2;4;17;15;1;1;412;417;;;15;19;133;84;45;32;;;;
10;BSAD;Santa Clara;2;1;45%;55%;10;12;4;4;4;4;2;4;;;8;7;0;3;;;3;2;15;10;;;377;516;;;7;7;77;117;29;39;;;;
10;Maritimo;Gil Vicente;1;2;55%;45%;19;14;7;5;9;4;3;5;;;4;5;1;0;;;3;6;14;21;2;4;446;336;;;10;12;110;108;33;29;;;;
10;Sporting;Vitória SC;1;0;49%;51%;12;12;4;2;3;6;5;4;;;7;2;3;3;;;2;3;14;10;2;2;436;432;;;21;16;86;96;44;36;;;;
10;Estoril;Benfica;1;1;44%;56%;8;15;2;7;5;4;1;4;;;4;10;6;1;;;6;1;14;13;3;2;339;502;;;16;11;80;110;38;79;;;;
10;FC Porto;Boavista;4;1;71%;29%;18;8;11;3;3;2;4;3;;;4;6;3;4;;;2;7;9;10;4;4;604;222;;;26;13;161;56;81;17;;;;
10;Arouca;Tondela;2;0;39%;61%;4;15;2;6;1;2;1;7;;;4;6;3;1;;;6;0;20;13;5;4;254;400;;;20;14;81;70;21;40;1;0;;
9;Boavista;BSAD;0;0;53%;47%;15;4;5;0;5;4;5;0;;;5;1;3;2;;;0;5;19;17;4;4;476;508;;;18;15;126;102;42;24;;;;
9;Gil Vicente;Braga;0;1;55%;45%;21;13;7;4;6;7;8;2;;;11;2;1;0;;;3;7;10;12;1;4;459;410;;;19;17;116;116;46;44;;;;
9;Portimonense;Estoril;0;2;61%;39%;24;6;3;2;14;2;7;2;;;6;1;0;2;;;0;3;17;16;1;3;502;324;;;13;20;140;81;77;33;;;;
9;Vizela;Benfica;0;1;36%;64%;15;14;4;7;6;4;5;3;;;7;12;3;3;;;6;4;12;9;3;3;295;625;;;18;10;61;134;34;95;;;;
9;Ferreira;Arouca;0;0;44%;56%;4;15;0;6;3;2;1;7;;;3;9;3;2;;;6;0;13;21;7;2;328;374;;;18;13;102;92;35;56;1;0;;
9;Sporting;Moreirense;1;0;60%;40%;14;5;4;1;7;3;3;1;;;7;1;4;3;;;1;3;14;14;3;3;600;302;;;16;18;170;87;47;40;;;;
9;Tondela;FC Porto;1;3;34%;66%;3;24;2;6;0;15;1;3;;;3;10;2;4;;;3;1;9;23;2;4;205;505;;;10;12;64;135;19;68;1;0;;
9;Santa Clara;Famalicao;0;2;54%;46%;9;12;0;5;7;5;2;2;;;1;5;2;4;;;3;0;12;18;4;2;447;286;;;12;5;76;89;20;44;2;1;;
9;Vitória SC;Maritimo;2;1;58%;42%;27;7;10;3;7;4;10;0;;;14;2;0;2;;;2;8;21;15;1;1;456;358;;;17;22;128;67;90;27;;;;
8;Braga;Boavista;2;2;63%;37%;13;7;8;2;4;4;1;1;;;3;1;5;4;;;0;6;11;14;2;5;684;331;;;12;14;136;82;58;21;;;;
8;Benfica;Portimonense;0;1;61%;39%;24;5;7;3;6;2;11;0;;;13;4;1;3;;;2;7;14;22;2;5;493;233;;;19;26;131;74;90;32;;;;
